Reading,Name,PlasticType,Color,MeasurementType,DateTime,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,nm940_snv,nm1050_snv,nm1200_snv,nm1300_snv,nm1450_snv,nm1550_snv,nm1650_snv,nm1720_snv,nm940_norm,nm1050_norm,nm1200_norm,nm1300_norm,nm1450_norm,nm1550_norm,nm1650_norm,nm1720_norm
41,224_HDPE_ps_1,HDPE,transparent,regular,2023-04-18 10:32:16,0.2768763,0.0943495,0.1826182,0.2012996,0.1247688,0.1079021,0.0616072,0.0338109,1.888229989,-0.547955471,0.6301669936,0.879507666,-0.1419490306,-0.3670688995,-0.9849669957,-1.355964251,1.428003642,1.71361067,-0.7635266797,0.2957060852,-0.667990792,-0.4457768502,-1.276077356,-0.2839487185
42,224_HDPE_ps_2,HDPE,transparent,regular,2023-04-18 10:32:26,0.4172318,0.1376145,0.2572519,0.2860319,0.175096,0.1495217,0.0848346,0.049074,1.98415127,-0.5076683746,0.5584846265,0.8149586336,-0.1736506367,-0.4015569327,-0.9780183553,-1.296700231,1.659006061,1.505493687,-0.7016958222,0.1621005603,-0.666562325,-0.6220888401,-1.275764589,-0.06048873082
43,224_HDPE_ps_3,HDPE,transparent,regular,2023-04-18 10:32:45,0.2751777,0.0943895,0.1893921,0.2123776,0.1275252,0.1079357,0.0610417,0.0335334,1.798938523,-0.5662430001,0.6766389697,0.9773493031,-0.1327415582,-0.3890233478,-1.002519264,-1.362399626,1.176350082,1.55458828,-0.4438061377,0.8843644572,-0.5329727173,-0.584820479,-1.519531898,-0.5341715874
44,234_HDPE_ps_1,HDPE,white,regular,2023-04-18 10:33:59,0.7283146,0.2366419,0.418963,0.4490739,0.2603776,0.2548221,0.1620999,0.0841002,2.12802094,-0.4617062628,0.4986112661,0.6572107101,-0.3366861265,-0.3659479291,-0.8543321807,-1.265170417,1.695372043,1.421779243,-0.8247927809,-0.4279541974,-1.430070678,-0.4220092091,-0.09986287997,0.08753845963
45,234_HDPE_ps_2,HDPE,white,regular,2023-04-18 10:34:09,0.7305256,0.2404802,0.4105473,0.4605939,0.2620009,0.2337585,0.1456574,0.0758122,2.107584378,-0.4077662657,0.4651699755,0.7220538224,-0.2973028135,-0.4422680331,-0.8944815598,-1.252989504,1.733137759,1.602022795,-0.6365351832,0.01301237435,-1.004065118,-0.7108249996,-0.5827487294,-0.4139988989
46,234_HDPE_ps_3,HDPE,white,regular,2023-04-18 10:34:23,0.7285664,0.2430766,0.4332649,0.4862761,0.286554,0.2676558,0.1674578,0.0886338,2.047801044,-0.4956513589,0.5007339175,0.7784564649,-0.2678758269,-0.3668823811,-0.8918137882,-1.304768071,1.553325203,1.531705122,-1.092677933,-0.1822242995,-1.307060498,-0.4639216481,-0.2311300902,0.1919841433
47,230_HDPE_ps_1,HDPE,gray,regular,2023-04-18 10:35:29,0.5968186,0.1862718,0.3191784,0.3665245,0.2075951,0.1840225,0.1181285,0.062086,2.154073217,-0.433703357,0.4040393462,0.7024733577,-0.2992973984,-0.4478812433,-0.8632271906,-1.216476732,1.919553353,1.342861062,-0.7765300824,0.003252168439,-1.02117979,-0.7732097758,-0.4636304589,-0.2311164768
48,230_HDPE_ps_2,HDPE,gray,regular,2023-04-18 10:35:47,0.5370877,0.1772693,0.3246029,0.4141467,0.2489913,0.2020155,0.1199785,0.0605977,1.872679525,-0.564285737,0.4335700289,1.040029093,-0.07852952633,-0.3966855538,-0.9523028296,-1.354475,1.355159211,1.202180847,-1.315955985,1.099761574,-0.07424082798,-0.5590427346,-0.8358738778,-0.8719882066
49,230_HDPE_ps_3,HDPE,gray,regular,2023-04-18 10:36:02,0.5492344,0.1769172,0.3366131,0.3486775,0.2120486,0.2000219,0.113233,0.0593685,2.049423994,-0.4964037279,0.5955636838,0.6780575465,-0.2561825079,-0.3384185857,-0.9318630668,-1.300177336,1.860878296,1.460215734,-0.4445132189,-0.2768725013,-1.062505044,-0.1725719223,-0.8252215982,-0.5394097447
50,207_HDPE_ps_1,HDPE,pink,regular,2023-04-18 10:37:53,0.6590032,0.2072716,0.3279078,0.3810198,0.2079527,0.1938978,0.1231544,0.0642081,2.222035676,-0.3619788345,0.328089541,0.6319030858,-0.358082777,-0.4384802199,-0.8431496567,-1.180336815,1.871204323,1.436241329,-0.764460037,-0.08692534044,-1.070226683,-0.6407209439,-0.4444769532,-0.3006356941
51,207_HDPE_ps_2,HDPE,pink,regular,2023-04-18 10:38:07,0.6230975,0.2096559,0.3367548,0.3965335,0.2187161,0.2126075,0.1240207,0.0665987,2.12124849,-0.3873723439,0.3838198839,0.7465363891,-0.3323981796,-0.3694630546,-0.9069771609,-1.255394024,1.60264998,1.657019444,-0.8966113318,0.01677696083,-1.139156645,-0.3459792617,-0.6262118972,-0.2684872493
52,207_HDPE_ps_3,HDPE,pink,regular,2023-04-18 10:38:21,0.6309471,0.2259931,0.3686181,0.3980364,0.2175902,0.197099,0.1281093,0.0723559,2.094411734,-0.3212306618,0.5295597902,0.7050466176,-0.3713558649,-0.4935905174,-0.9051297149,-1.237711383,1.328820936,1.855513292,-0.4842899506,-0.1373362852,-1.202737406,-0.8843934202,-0.5509111787,0.07533401227
53,kl200_HDPE_ps_1,HDPE,white,regular,2023-04-18 10:39:50,0.6942099,0.2251286,0.3842405,0.4128631,0.228727,0.2036093,0.1244833,0.0626867,2.142969688,-0.3562499661,0.4914827994,0.6439812351,-0.33707804,-0.4709027086,-0.8924783594,-1.221724648,1.772164671,1.556907545,-0.289390726,0.005567558559,-0.9180919521,-0.7034624078,-0.696229855,-0.7274648333
