Reading,Name,PlasticType,Color,MeasurementType,DateTime,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,nm940_snv,nm1050_snv,nm1200_snv,nm1300_snv,nm1450_snv,nm1550_snv,nm1650_snv,nm1720_snv,nm940_norm,nm1050_norm,nm1200_norm,nm1300_norm,nm1450_norm,nm1550_norm,nm1650_norm,nm1720_norm
21,B01A,HDPE,white,regular,2023-05-08 10:31:43.954515,2526.0,199066.0,362534.0,390418.0,185471.0,213579.0,82049.0,55106.0,-1.4125021626360508,0.09776201929149518,1.3538924013579043,1.5681602676897843,-0.006705476146100156,0.2092836641084,-0.8014268673301372,-1.0084638463352957,-2.5653686123194706,0.9176879540655106,0.18144069734940857,0.3487081550226364,0.01856975567848322,0.2770626604006499,0.4715580308044106,0.3503413589983706
22,B02A,HDPE,transparent,regular,2023-05-08 10:32:12.375667,109706.0,166193.0,288467.0,332397.0,175563.0,211348.0,86104.0,63455.0,-0.7793961116172147,-0.14545893682780742,1.2267866083454182,1.7198002236639633,-0.040302151589137504,0.3613024972652704,-1.0442744942429443,-1.2984576349975478,0.40990195351748143,0.29190931296111744,-1.6333348300232724,-0.8386576200691382,-0.9143652888956447,0.06773014499604049,1.072691203406856,1.5441251241065566
23,B02A,HDPE,transparent,regular,2023-05-08 10:32:21.775446,111346.0,169730.0,296853.0,345075.0,183774.0,218056.0,87885.0,64066.0,-0.7890815084545248,-0.1601613946747679,1.2092242524892505,1.7286779680052726,-0.008877582707055739,0.36041262249638406,-1.041806480867975,-1.2983878762865835,0.3514620920844603,0.2785910993357282,-1.7236022570916514,-0.806952444058425,-0.8289017893642132,0.12326603128249017,1.1047809775103243,1.5013562903012818
24,B02A,HDPE,transparent,regular,2023-05-08 10:32:36.217692,109260.0,166366.0,293608.0,335117.0,176992.0,207296.0,87097.0,62375.0,-0.7799035809892606,-0.14820533892848428,1.259327104532751,1.7184936076970552,-0.03066207692207849,0.30455635069340437,-1.0250674541163047,-1.2985386119670825,0.39848274982385395,0.3171659251213376,-1.605293475796139,-0.8227741225906889,-0.9033770921867064,-0.08163349568328052,1.234970104696749,1.4624594066148766
25,B03A,HDPE,green,regular,2023-05-08 10:33:14.119849,113138.0,174639.0,265516.0,308398.0,152768.0,179615.0,72147.0,51156.0,-0.6193132829469895,0.1197772946949672,1.2118950557780082,1.7272311015405548,-0.1430582693382556,0.17957656160682842,-1.1119241651785214,-1.364184296156592,1.3615894862353692,1.3941208441601753,-1.4348106186334104,-0.6453319906261976,-1.1048799621958199,-0.3981880487771579,0.36048460497158313,0.46701568486545103
26,B03A,HDPE,green,regular,2023-05-08 10:33:21.889945,3220.0,3209.0,3177.0,3283.0,3431.0,3265.0,3259.0,3352.0,-0.7060379258508592,-0.848540993453785,-1.2630953719350235,0.11011600678407897,2.027430007259807,-0.12307083111161767,-0.20079977707684987,1.0039988853842494,0.27665854034805243,-0.33283800224662025,-0.97173656307484,-0.9637261621664075,-0.4932774557242938,-0.5828778158582912,0.9634256659151268,2.1043717928072736
27,B03A,HDPE,green,regular,2023-05-08 10:33:30.437501,3537.0,3448.0,3409.0,3609.0,3409.0,3424.0,3504.0,3525.0,0.7959144789027108,-0.5189140802126723,-1.0950749094879524,1.8595960098724589,-1.0950749094879524,-0.8734745905359216,0.30839377720824296,0.6186342237410861,0.3344535334272682,-0.322275006285938,-0.9703036474046635,-0.9500110067414634,-0.5582466293347444,-0.5968447243997471,0.9927606297638422,2.0704668509754454
28,B04A,HDPE,yellow,regular,2023-05-08 10:34:17.371087,116540.0,182569.0,279145.0,308882.0,147018.0,168577.0,68636.0,48615.0,-0.5616247651315147,0.20365058539278294,1.3229653145607936,1.6676168025212508,-0.20838509569415317,0.0414834663309166,-1.116831574132347,-1.348874733847729,1.5000661074252,1.6458116789561832,-0.9883818727607505,-0.5242985614477589,-1.1460147208615519,-0.6744354027707056,0.05135801885842599,0.13589475260095338
29,B04A,HDPE,yellow,regular,2023-05-08 10:34:24.989146,133401.0,205991.0,324552.0,367452.0,171666.0,191737.0,79317.0,58354.0,-0.5711295739631616,0.14172977451551752,1.306040522758811,1.7273336216668609,-0.1953538063707018,0.0017504777361389248,-1.1022534891459812,-1.3081175271974836,1.4913634281506574,1.5259658853686109,-1.0332553785600764,-0.3976701371458398,-1.1780032375645877,-0.8274132518227775,0.034270944525811566,0.38474174704820807
30,B04A,HDPE,yellow,regular,2023-05-08 10:34:33.905855,123526.0,184931.0,278944.0,305180.0,147171.0,170148.0,70070.0,50600.0,-0.5061936177884448,0.22012108069560316,1.3321318900528347,1.6424582874052893,-0.22651425868649358,0.045263818458168396,-1.1384854266340318,-1.3687817735029253,1.6498127777331892,1.4569583339367025,-0.9919902818429837,-0.6349379420493185,-1.1247822360050173,-0.6617245732810381,0.05803392199674546,0.2486299995117193
31,B05A,HDPE,grey,regular,2023-05-08 10:34:57.059216,41388.0,57891.0,106210.0,102397.0,58164.0,61356.0,26319.0,20406.0,-0.604973403315605,-0.04654032005622436,1.588491380241298,1.4594660305189433,-0.03730247046949401,0.07070930931381465,-1.1148823975369955,-1.3149681286957373,1.465460631638388,0.6840057653467773,-0.9013432235007837,-1.2256350334612067,-0.8477226219862075,-0.8141268205989378,0.40448699509294694,1.2348743074690316
32,B05A,HDPE,grey,regular,2023-05-08 10:35:04.808802,2372.0,2193.0,2269.0,102882.0,59151.0,61762.0,26085.0,19602.0,-0.9367038270041579,-0.941916230362633,-0.9397031429031687,1.990104338137302,0.7166763422184762,0.7927075442798069,-0.2461914200794794,-0.43497360428614623,-1.2093681916891352,-1.2702336064438051,-1.3206834800886793,0.48195548211724815,0.6227037184504397,0.612909788003199,0.9542452299421139,1.128471059708619
