Reading,Name,PlasticType,Color,MeasurementType,DateTime,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,nm940_snv,nm1050_snv,nm1200_snv,nm1300_snv,nm1450_snv,nm1550_snv,nm1650_snv,nm1720_snv,nm940_norm,nm1050_norm,nm1200_norm,nm1300_norm,nm1450_norm,nm1550_norm,nm1650_norm,nm1720_norm
25,3mm pmma,PMMA,transparent,regular,2023-09-19 11:50:42.207665,22887.0,36870.0,59543.0,75528.0,30041.0,38944.0,10986.0,6508.0,-0.5615451204521624,0.07806432608906715,1.1151711687858632,1.8463559648211598,-0.234307333099237,0.17293309474575813,-1.1059198628741873,-1.3107522380162617,1.1290489658700824,1.4275340548589142,-0.2938080501560368,0.8964780401305209,-0.8084925311340448,0.09489559333669213,-0.95439112756437,-1.4912649453417612
26,3mm pmma,PMMA,transparent,regular,2023-09-19 11:50:43.536192,23225.0,36539.0,59451.0,75319.0,30712.0,38790.0,11000.0,6672.0,-0.5518626285058524,0.061016300127998274,1.1157167667690369,1.846163126958457,-0.20721605056671766,0.1646358335781108,-1.1146119827606837,-1.3138413656003491,1.2316013012883984,1.3804741822481812,-0.3334271202122232,0.8791250480977149,-0.7528404195070496,0.051902368974941396,-0.9982740038897854,-1.4585613570001803
27,3mm pmma,PMMA,transparent,regular,2023-09-19 11:50:44.939951,23011.0,37001.0,59322.0,76404.0,30559.0,39023.0,10953.0,6397.0,-0.5591873034345555,0.07565722193919885,1.0885496201427423,1.8637043150987445,-0.21667075750738624,0.1674124492662704,-1.1063606620447577,-1.3131048834602563,1.1211897149822365,1.4020951764685237,-0.31951268691730256,0.9298038400097771,-0.729874967866282,0.08839925886541995,-0.95914838819082,-1.5329519473515472
28,2mm pmma,PMMA,transparent,regular,2023-09-19 11:50:54.683819,25126.0,39857.0,71520.0,84143.0,37253.0,44419.0,13144.0,8108.0,-0.6173208210570341,-0.023743495948686043,1.2520992061696783,1.7607358618510764,-0.12867020524080053,0.1600797174885744,-1.100128743767524,-1.3030515194952845,1.101649224681681,1.352282050654669,-0.12071717563026824,0.9205492726479777,-0.639009616103696,0.04749497518238048,-1.065280967056185,-1.5969677643765559
29,2mm pmma,PMMA,transparent,regular,2023-09-19 11:50:55.986828,25300.0,39859.0,71086.0,84445.0,37350.0,44182.0,13201.0,7760.0,-0.6076540670483274,-0.02168845518860551,1.2351250733190897,1.7727934989550553,-0.12266982205144239,0.15230215818247614,-1.094610447149349,-1.3135979390188968,1.119090441131294,1.3039137383108237,-0.13217864027631032,0.9212251336679463,-0.5682264347174568,0.031181468877624595,-0.9635795482404436,-1.7114261587534834
30,2mm pmma,PMMA,transparent,regular,2023-09-19 11:50:56.949027,25165.0,39396.0,70498.0,84933.0,36826.0,44463.0,13105.0,8027.0,-0.6088583007710954,-0.036428021347944026,1.2146243678459883,1.7952603796141837,-0.13980415922423514,0.1673878893988136,-1.093961889404586,-1.2982202661111253,1.1269622088443851,1.2662906115478485,-0.18532525679644662,1.0094644623456337,-0.6705361112426733,0.0837908064580438,-1.0357615124096033,-1.5948852087471899
31,2mm pmma,PMMA,transparent,regular,2023-09-19 11:50:58.267870,25095.0,39889.0,71438.0,84138.0,37107.0,44623.0,13563.0,8029.0,-0.6213783169428756,-0.024073476485254597,1.2497111937592693,1.7624711960447759,-0.13639617934811127,0.16706084247691777,-1.0869805489394475,-1.310414710565274,1.0863635892594434,1.3564748377624243,-0.14663485491936537,0.9129892433264676,-0.687539492898842,0.0639679145549042,-0.9021586070789777,-1.6834626300060553
32,4mm ps,PS,transparent,regular,2023-09-19 11:51:15.760776,22085.0,35304.0,58665.0,71760.0,34418.0,38970.0,9040.0,5748.0,-0.5834170947897742,0.03784485877188325,1.1357569926060522,1.7511912373968763,-0.0037950603487483044,0.2101382487224874,-1.1965014570117138,-1.3512177253470627,1.0208158553269697,1.245311257189779,-0.17687081928783135,0.7241988708034979,0.012276377535457843,0.26055485784652593,-1.4412458051308425,-1.6450405942835573
33,4mm ps,PS,transparent,regular,2023-09-19 11:51:17.161442,21987.0,35600.0,59273.0,72206.0,34746.0,39036.0,8932.0,5874.0,-0.5925227823718072,0.04161017121827212,1.144367051431153,1.7468236362236673,0.0018283786401535748,0.20166899943655703,-1.200662480389767,-1.3431129741882288,0.9709958574435499,1.2710881642226874,-0.15294992694972673,0.734128852704585,0.0340551321305369,0.24532097838891337,-1.5031719709742377,-1.5994670869663095
34,4mm ps,PS,transparent,regular,2023-09-19 11:51:18.420434,21616.0,35139.0,58548.0,70975.0,34100.0,38836.0,9308.0,5741.0,-0.6008525366028311,0.040610243481450536,1.1510149036155146,1.7404889824521166,-0.008674665821778674,0.21597724029958182,-1.1846818568185629,-1.3538823106054911,0.9619615185609037,1.29485204310201,-0.16979665026972127,0.7177308645729455,-0.0087484203944928,0.2782979475729327,-1.3777098069713054,-1.6965874961732708
