PlasticType,Color,MeasurementType,white,nm850,nm940,nm1200,nm1300,nm1450,nm1550,nm1650
PVC,C03C,PRE,453,430,482,439,466,460,423,491
PVC,C03C,VALUE,14618,281392,405767,263008,275204,268169,278676,152613
PVC,C03C,POST,460,484,469,443,481,454,412,450
PVC,C03C,PRE,471,484,448,488,468,409,439,475
PVC,C03C,VALUE,14614,283035,408867,265314,278473,264765,277888,153907
PVC,C03C,POST,482,501,481,384,477,464,444,452
PVC,C03C,PRE,482,452,501,434,446,476,464,479
PVC,C03C,VALUE,14564,281142,405680,263274,277837,265793,278445,153392
PVC,C03C,POST,454,472,442,477,467,448,449,504
PVC,C03C,PRE,461,455,454,442,466,480,482,463
PVC,C03C,VALUE,14496,279955,403074,262317,276853,266209,276863,153278
PVC,C03C,POST,444,452,440,456,448,441,443,445
PVC,C04C,PRE,481,467,462,462,441,472,470,456
PVC,C04C,VALUE,12869,236201,327012,217117,217147,224265,222252,132146
PVC,C04C,POST,489,457,467,460,454,469,444,447
PVC,C04C,PRE,478,461,437,473,456,445,438,433
PVC,C04C,VALUE,12732,227564,320894,212769,219333,229243,226141,129494
PVC,C04C,POST,443,466,447,448,450,449,449,458
PVC,C04C,PRE,491,447,440,440,348,408,446,475
PVC,C04C,VALUE,13847,266996,382536,254208,269309,261266,268750,148640
PVC,C04C,POST,350,402,418,484,400,497,440,512
PVC,C04C,PRE,460,472,464,485,447,426,504,463
PVC,C04C,VALUE,12974,228283,321928,214405,212165,211501,207655,127096
PVC,C04C,POST,450,453,462,444,435,447,442,457
PVC,C05C,PRE,472,465,514,482,453,454,460,474
PVC,C05C,VALUE,12720,251803,362922,228773,223240,217395,206709,125836
PVC,C05C,POST,508,452,485,486,504,483,446,454
PVC,C05C,PRE,467,469,413,479,472,481,459,472
PVC,C05C,VALUE,12703,251090,361940,228389,223335,217695,206686,125846
PVC,C05C,POST,487,459,452,463,469,471,467,483
PVC,C05C,PRE,445,463,460,467,492,507,465,448
PVC,C05C,VALUE,12706,251277,362118,228720,223613,217546,206336,125676
PVC,C05C,POST,460,462,471,450,443,459,443,474
PVC,C05C,PRE,440,444,486,480,466,484,483,431
PVC,C05C,VALUE,12667,250780,361470,228020,223086,217723,206221,125562
PVC,C05C,POST,468,467,452,421,534,488,480,463
PVC,C06C,PRE,423,458,489,478,454,466,477,474
PVC,C06C,VALUE,11665,182616,244662,164024,152303,162302,145022,102314
PVC,C06C,POST,447,442,464,487,473,475,453,478
PVC,C06C,PRE,466,459,487,454,480,458,453,454
PVC,C06C,VALUE,11742,182315,244715,163579,151941,162005,144589,102086
PVC,C06C,POST,517,480,473,485,457,464,451,463
PVC,C06C,PRE,465,459,461,459,468,478,478,480
PVC,C06C,VALUE,11698,183006,244112,164206,152015,162318,144812,102228
PVC,C06C,POST,456,459,442,440,462,499,496,481
PVC,C06C,PRE,469,483,492,498,457,488,499,490
PVC,C06C,VALUE,11676,182236,244445,163751,150838,161792,143685,102289
PVC,C06C,POST,487,456,495,480,476,471,510,497
LDPE,D01C,PRE,449,445,454,443,455,443,444,440
LDPE,D01C,VALUE,14842,286438,411320,273109,281106,274871,290103,157867
LDPE,D01C,POST,448,458,460,460,450,439,442,478
LDPE,D01C,PRE,450,456,450,459,456,457,449,442
LDPE,D01C,VALUE,15025,287052,415428,275446,282336,276522,291249,158994
LDPE,D01C,POST,456,448,446,459,452,448,477,450
LDPE,D01C,PRE,486,479,469,457,461,452,456,449
LDPE,D01C,VALUE,14997,285787,412599,274482,281864,275007,288983,158245
LDPE,D01C,POST,453,458,450,448,449,455,444,445
LDPE,D01C,PRE,469,470,466,452,480,467,465,455
