Type,ID,Color,940,1050,1200,1300,1450,1550,1650,1720
HDPE,211,white transparent,0.0299,0.0226,0.0199,0.0246,0.0204,0.0219,0.0301,0.006
HDPE,211,white transparent,0.03,0.0225,0.0199,0.0247,0.0204,0.0219,0.0301,0.006
HDPE,212,white,0.1259,0.0933,0.0811,0.0991,0.0779,0.0913,0.1202,0.0212
HDPE,212,white,0.1259,0.0932,0.0812,0.0991,0.0778,0.0913,0.1202,0.0212
HDPE,212,white,0.1258,0.0933,0.0811,0.0991,0.0779,0.0912,0.1202,0.0212
HDPE,212,white,0.1258,0.0933,0.0812,0.0992,0.0779,0.0913,0.1201,0.0212
HDPE,212,white,0.1259,0.0932,0.0812,0.0992,0.0779,0.0913,0.1202,0.0212
HDPE,213,gold,0.0816,0.0641,0.0704,0.0863,0.0696,0.0795,0.0968,0.016
HDPE,213,gold,0.0815,0.0641,0.0704,0.0863,0.0696,0.0794,0.0968,0.0161
HDPE,213,gold,0.0815,0.0642,0.0704,0.0863,0.0697,0.0794,0.0968,0.0161
HDPE,213,gold,0.0815,0.0642,0.0705,0.0863,0.0697,0.0795,0.0968,0.0161
HDPE,213,gold,0.0815,0.0641,0.0704,0.0863,0.0697,0.0794,0.0968,0.0161
HDPE,214,white,0.1463,0.106,0.0983,0.1216,0.1022,0.112,0.1469,0.0254
HDPE,214,white,0.1463,0.106,0.0983,0.1216,0.1022,0.1119,0.1469,0.0254
HDPE,214,white,0.1462,0.106,0.0983,0.1216,0.1022,0.1119,0.1469,0.0254
HDPE,214,white,0.1462,0.106,0.0983,0.1216,0.1023,0.1119,0.1469,0.0254
HDPE,214,white,0.1462,0.106,0.0983,0.1216,0.1022,0.112,0.1468,0.0254
HDPE,215,grey,0.0573,0.0424,0.0336,0.0376,0.031,0.0302,0.0443,0.0089
HDPE,215,grey,0.0573,0.0424,0.0336,0.0376,0.031,0.0302,0.0443,0.0089
HDPE,215,grey,0.0573,0.0424,0.0337,0.0376,0.031,0.0303,0.0441,0.009
HDPE,215,grey,0.0573,0.0424,0.0336,0.0376,0.0311,0.0303,0.0442,0.009
HDPE,215,grey,0.0573,0.0423,0.0337,0.0377,0.0311,0.0303,0.0443,0.0089
HDPE,216,white transparent,0.0295,0.0224,0.0196,0.0234,0.0201,0.0223,0.0294,0.0058
HDPE,216,white transparent,0.0295,0.0224,0.0195,0.0234,0.0202,0.0223,0.0294,0.0059
HDPE,216,white transparent,0.0295,0.0225,0.0196,0.0234,0.0201,0.0224,0.0293,0.0059
HDPE,216,white transparent,0.0295,0.0224,0.0196,0.0234,0.0202,0.0224,0.0293,0.0059
HDPE,216,white transparent,0.0296,0.0224,0.0195,0.0234,0.0201,0.0223,0.0294,0.0058
HDPE,217,purple,0.0835,0.0553,0.0629,0.0686,0.0489,0.0554,0.0653,0.0124
HDPE,217,purple,0.0835,0.0552,0.0629,0.0686,0.049,0.0554,0.0653,0.0124
HDPE,217,purple,0.0836,0.0552,0.0629,0.0686,0.0489,0.0554,0.0653,0.0124
HDPE,217,purple,0.0834,0.0553,0.0629,0.0686,0.049,0.0554,0.0653,0.0124
HDPE,217,purple,0.0834,0.0552,0.0629,0.0686,0.049,0.0554,0.0653,0.0124
HDPE,222,purple,0.0782,0.0571,0.0491,0.0691,0.0549,0.0495,0.0712,0.0148
HDPE,222,purple,0.0782,0.0571,0.0491,0.0691,0.055,0.0495,0.0711,0.0148
HDPE,222,purple,0.0782,0.0571,0.0491,0.0691,0.055,0.0494,0.0711,0.0149
HDPE,222,purple,0.0781,0.0571,0.0493,0.0691,0.055,0.0494,0.0711,0.0149
HDPE,222,purple,0.0781,0.0571,0.0491,0.0691,0.055,0.0494,0.0711,0.0148
HDPE,223,white,0.127,0.0948,0.0905,0.1071,0.0829,0.0869,0.1136,0.0195
HDPE,223,white,0.127,0.0948,0.0905,0.1071,0.0829,0.0869,0.1136,0.0195
HDPE,223,white,0.1269,0.0948,0.0905,0.1071,0.0829,0.0869,0.1136,0.0195
HDPE,223,white,0.1269,0.0948,0.0903,0.1071,0.0829,0.0869,0.1136,0.0195
HDPE,223,white,0.1269,0.0948,0.0905,0.1071,0.0828,0.0868,0.1136,0.0195
HDPE,227,white,0.1331,0.0909,0.0819,0.0961,0.0719,0.0805,0.1069,0.0196
HDPE,227,white,0.133,0.091,0.082,0.0961,0.0719,0.0805,0.1068,0.0196
HDPE,227,white,0.133,0.0909,0.082,0.0961,0.0719,0.0805,0.1069,0.0196
HDPE,227,white,0.133,0.0909,0.082,0.0961,0.0719,0.0805,0.1068,0.0196
HDPE,227,white,0.133,0.091,0.082,0.0961,0.072,0.0805,0.1068,0.0196
HDPE,228,white,0.0939,0.0696,0.0582,0.0756,0.0591,0.0633,0.0767,0.0132
HDPE,228,white,0.0939,0.0696,0.0582,0.0756,0.0591,0.0633,0.0767,0.0132
HDPE,228,white,0.0939,0.0696,0.0582,0.0756,0.0592,0.0633,0.0767,0.0132
HDPE,228,white,0.0939,0.0696,0.0582,0.0757,0.0592,0.0633,0.0767,0.0132
HDPE,228,white,0.0939,0.0696,0.0583,0.0756,0.0591,0.0633,0.0767,0.0132
HDPE,229,grey,0.0829,0.0583,0.0559,0.0651,0.0508,0.0522,0.0635,0.0115
HDPE,229,grey,0.0829,0.0583,0.0559,0.0651,0.0508,0.0522,0.0634,0.0114
HDPE,229,grey,0.0829,0.0583,0.0559,0.0651,0.0508,0.0522,0.0634,0.0114
HDPE,229,grey,0.0829,0.0583,0.056,0.0652,0.0508,0.0523,0.0635,0.0114
HDPE,229,grey,0.0829,0.0583,0.056,0.0651,0.0508,0.0523,0.0634,0.0114
HDPE,230,white,0.0926,0.0647,0.0604,0.0706,0.0605,0.067,0.0785,0.0144
HDPE,230,white,0.0926,0.0649,0.0604,0.0706,0.0605,0.067,0.0785,0.0144
HDPE,230,white,0.0926,0.0648,0.0604,0.0707,0.0605,0.0669,0.0785,0.0145
HDPE,230,white,0.0925,0.0648,0.0604,0.0706,0.0606,0.0669,0.0785,0.0145
HDPE,230,white,0.0926,0.0647,0.0604,0.0707,0.0605,0.067,0.0785,0.0144
HDPE,232,white black white,0.0811,0.0628,0.0627,0.0718,0.0537,0.0545,0.0641,0.0114
HDPE,232,white black white,0.081,0.0628,0.0627,0.0718,0.0536,0.0545,0.0641,0.0114
HDPE,232,white black white,0.081,0.0628,0.0628,0.0719,0.0536,0.0545,0.064,0.0114
HDPE,232,white black white,0.081,0.0628,0.0628,0.0719,0.0536,0.0545,0.0641,0.0114
HDPE,232,white black white,0.081,0.0628,0.0628,0.0719,0.0536,0.0545,0.064,0.0114
HDPE,233,white,0.1002,0.0756,0.0739,0.1147,0.0751,0.0726,0.0886,0.0156
HDPE,233,white,0.1002,0.0756,0.074,0.1147,0.0751,0.0726,0.0886,0.0156
HDPE,233,white,0.1002,0.0756,0.074,0.1148,0.075,0.0726,0.0886,0.0155
HDPE,233,white,0.1001,0.0756,0.0739,0.1147,0.0751,0.0726,0.0885,0.0155
HDPE,233,white,0.1001,0.0756,0.0739,0.1147,0.0751,0.0726,0.0885,0.0155
HDPE,234,white,0.096,0.073,0.0662,0.0788,0.0603,0.0684,0.0879,0.0146
HDPE,234,white,0.0961,0.073,0.0662,0.0788,0.0603,0.0684,0.0879,0.0147
HDPE,234,white,0.096,0.073,0.0662,0.0788,0.0603,0.0685,0.0878,0.0147
HDPE,234,white,0.0959,0.073,0.0662,0.0788,0.0603,0.0684,0.0878,0.0147
HDPE,234,white,0.096,0.073,0.0662,0.0788,0.0603,0.0684,0.0878,0.0147
PS,301,brown,0.0368,0.0312,0.0337,0.0374,0.0336,0.0442,0.0562,0.0083
PS,301,brown,0.0368,0.0312,0.0336,0.0374,0.0336,0.0442,0.0562,0.0084
PS,301,brown,0.0368,0.0312,0.0336,0.0374,0.0336,0.0442,0.0561,0.0084
PS,301,brown,0.0368,0.0312,0.0336,0.0374,0.0336,0.0442,0.0562,0.0083
PS,301,brown,0.0368,0.0312,0.0337,0.0374,0.0336,0.0442,0.0562,0.0083
PS,301,black,0.0095,0.009,0.0086,0.0129,0.0097,0.013,0.0141,0.0034
PS,301,black,0.0095,0.0092,0.0085,0.0129,0.0097,0.0129,0.0141,0.0034
